  , 	  , 	T1, 	T2, 	T3, 	T4, 	T5, 	T6, 	T7, 	T8, 	T9, 	T10, 	T11, 	T12, 	T13, 	T14, 	T15, 	T16, 	T17, 	T18, 	T19,  	T20,  	T21,  	T22,  	T23,  	T24  
K1, 	S24, 	0.002,	0.000,	0.025,	0.080,	0.000,	0.003,	0.185,	0.052,	0.090,	0.216,	0.835,	0.729,	1.017,	0.807,	0.863,	0.979,	0.654,	0.530,	0.413,	0.394,	0.146,	0.104,	0.171,	0.268, 
K1, 	S25, 	0.000,	0.030,	0.000,	0.023,	0.069,	0.000,	0.000,	0.034,	0.033,	0.173,	0.701,	0.834,	0.960,	0.387,	0.861,	0.763,	0.574,	0.392,	0.164,	0.201,	0.115,	0.112,	0.238,	0.036, 
K1, 	S26, 	0.421,	0.512,	0.000,	0.000,	0.691,	0.000,	0.162,	0.110,	0.146,	0.424,	0.879,	0.817,	0.586,	0.691,	0.995,	0.816,	0.803,	0.489,	0.449,	0.276,	0.388,	0.135,	0.189,	0.000, 
K1, 	S27, 	0.320,	0.394,	0.020,	0.000,	0.000,	0.305,	0.161,	0.396,	0.000,	0.170,	0.560,	0.960,	0.807,	0.888,	0.330,	0.574,	0.798,	0.617,	0.377,	0.000,	0.124,	0.003,	0.086,	0.157, 
K1, 	S28, 	0.262,	0.354,	0.000,	0.004,	0.084,	0.000,	0.232,	0.000,	0.171,	0.464,	0.439,	0.831,	0.960,	0.691,	0.755,	0.831,	0.651,	0.486,	0.278,	0.187,	0.000,	0.182,	0.171,	0.132, 
K1, 	S29, 	0.000,	0.000,	0.000,	0.022,	0.031,	0.012,	0.232,	0.492,	0.205,	0.449,	0.626,	0.711,	0.878,	0.851,	0.308,	0.562,	0.631,	0.587,	0.172,	0.329,	0.148,	0.000,	0.123,	0.096, 
K1, 	S30, 	0.113,	0.000,	0.433,	0.000,	0.000,	0.000,	0.000,	0.118,	0.166,	0.489,	0.651,	0.822,	1.057,	1.011,	0.919,	0.607,	0.728,	0.637,	0.437,	0.066,	0.369,	0.132,	0.088,	0.234, 
K1, 	S31, 	0.114,	0.175,	0.002,	0.021,	0.000,	0.000,	0.000,	0.000,	0.101,	0.331,	0.639,	0.964,	0.838,	0.950,	0.799,	0.909,	0.555,	0.644,	0.410,	0.258,	0.285,	0.180,	0.250,	0.183, 
K1, 	S32, 	0.000,	0.000,	0.123,	0.000,	0.094,	0.000,	0.020,	0.049,	0.000,	0.409,	0.581,	0.767,	0.506,	0.960,	0.758,	0.801,	0.721,	0.506,	0.458,	0.320,	0.221,	0.113,	0.138,	0.174, 
K1, 	S33, 	0.000,	0.000,	0.288,	0.107,	0.681,	0.045,	0.000,	0.098,	0.131,	0.522,	0.868,	0.728,	0.908,	1.041,	0.306,	0.617,	0.618,	0.569,	0.287,	0.472,	0.399,	0.177,	0.089,	0.103, 
K1, 	S34, 	0.000,	0.000,	0.000,	0.000,	0.000,	0.000,	0.390,	0.098,	0.042,	0.326,	0.487,	0.960,	0.721,	0.960,	0.829,	0.696,	0.599,	0.722,	0.362,	0.330,	0.063,	0.034,	0.083,	0.174, 
K1, 	S35, 	0.117,	0.385,	0.123,	0.061,	0.103,	0.270,	0.373,	0.313,	0.000,	0.321,	0.635,	0.848,	0.856,	0.887,	0.758,	0.795,	0.805,	0.611,	0.241,	0.337,	0.250,	0.183,	0.171,	0.103, 
