  , 	  , 	T1, 	T2, 	T3, 	T4, 	T5, 	T6, 	T7, 	T8, 	T9, 	T10, 	T11, 	T12, 	T13, 	T14, 	T15, 	T16, 	T17, 	T18, 	T19,  	T20,  	T21,  	T22,  	T23,  	T24  
K6, 	S64, 	0.042,	0.000,	0.077,	0.179,	0.189,	0.849,	0.395,	0.777,	0.792,	0.960,	0.707,	0.807,	0.897,	0.324,	0.148,	0.229,	0.324,	0.187,	0.251,	0.156,	0.269,	0.047,	0.077,	0.000, 
K6, 	S65, 	0.000,	0.059,	0.254,	0.055,	0.374,	0.718,	0.646,	0.466,	0.526,	0.350,	0.706,	0.580,	0.660,	0.464,	0.121,	0.311,	0.164,	0.170,	0.002,	0.221,	0.181,	0.064,	0.037,	0.076, 
K6, 	S66, 	0.000,	0.000,	0.007,	0.189,	0.186,	0.755,	0.778,	0.289,	1.036,	0.672,	0.854,	0.699,	0.343,	0.407,	0.235,	0.283,	0.061,	0.260,	0.121,	0.000,	0.155,	0.000,	0.034,	0.004, 
K6, 	S67, 	0.270,	0.031,	0.017,	0.000,	0.183,	0.544,	0.960,	0.960,	0.216,	0.827,	0.814,	0.723,	0.514,	0.489,	0.350,	0.385,	0.057,	0.279,	0.001,	0.095,	0.000,	0.017,	0.190,	0.023, 
K6, 	S68, 	0.000,	0.000,	0.000,	0.188,	0.291,	0.707,	0.960,	0.947,	0.906,	0.898,	0.902,	0.806,	0.598,	0.595,	0.362,	0.265,	0.000,	0.324,	0.000,	0.056,	0.001,	0.135,	0.178,	0.000, 
K6, 	S69, 	0.166,	0.441,	0.107,	0.168,	0.364,	0.729,	0.880,	0.567,	0.749,	0.833,	0.843,	0.669,	0.529,	0.296,	0.285,	0.320,	0.048,	0.056,	0.001,	0.003,	0.142,	0.027,	0.197,	0.108, 
K6, 	S70, 	0.000,	0.110,	0.011,	0.169,	0.267,	0.475,	0.831,	0.470,	0.853,	0.776,	0.989,	0.583,	0.657,	0.572,	0.491,	0.163,	0.001,	0.302,	0.308,	0.090,	0.033,	0.047,	0.169,	0.029, 
K6, 	S71, 	0.257,	0.028,	0.028,	0.063,	0.272,	0.537,	0.903,	0.296,	0.329,	1.058,	0.897,	0.662,	0.338,	0.461,	0.466,	0.360,	0.071,	0.078,	0.106,	0.106,	0.125,	0.000,	0.000,	0.000, 
K6, 	S72, 	0.000,	0.022,	0.607,	0.172,	0.393,	0.542,	0.778,	0.704,	0.210,	0.345,	0.625,	0.865,	0.734,	0.491,	0.450,	0.382,	0.034,	0.189,	0.093,	0.000,	0.072,	0.121,	0.008,	0.000, 
K6, 	S73, 	0.000,	0.000,	0.127,	0.107,	0.265,	0.794,	0.960,	0.734,	0.830,	0.991,	0.622,	0.928,	0.367,	0.393,	0.231,	0.113,	0.148,	0.071,	0.370,	0.465,	0.143,	0.121,	0.145,	0.000, 
K6, 	S74, 	0.000,	0.465,	0.000,	0.167,	0.365,	0.773,	0.733,	0.960,	0.972,	0.810,	0.693,	0.750,	0.417,	0.215,	0.361,	0.174,	0.000,	0.120,	0.003,	0.148,	0.158,	0.000,	0.246,	0.000, 
K6, 	S75, 	0.014,	0.000,	0.126,	0.034,	0.267,	0.389,	0.431,	0.835,	0.907,	0.393,	0.631,	0.862,	0.493,	0.324,	0.050,	0.379,	0.107,	0.106,	0.263,	0.148,	0.065,	0.151,	0.190,	0.365, 
K6, 	S76, 	0.262,	0.000,	0.000,	0.173,	0.265,	0.712,	0.819,	1.054,	0.949,	0.731,	0.721,	0.581,	0.900,	0.305,	0.371,	0.229,	0.085,	0.175,	0.059,	0.208,	0.084,	0.213,	0.023,	0.358, 
K6, 	S77, 	0.108,	0.000,	0.000,	0.112,	0.466,	0.398,	0.429,	0.727,	0.728,	0.931,	0.877,	0.724,	0.520,	0.319,	0.097,	0.000,	0.062,	0.104,	0.180,	0.000,	0.056,	0.035,	0.160,	0.108, 
K6, 	S78, 	0.000,	0.000,	0.000,	0.174,	0.475,	0.694,	0.876,	0.502,	0.876,	0.920,	0.890,	0.864,	0.797,	0.612,	0.107,	0.403,	0.047,	0.247,	0.254,	0.353,	0.152,	0.000,	0.019,	0.000, 
K6, 	S79, 	0.059,	0.000,	0.000,	0.172,	0.367,	0.738,	0.960,	0.799,	0.739,	0.324,	0.686,	0.707,	0.438,	0.214,	0.143,	0.028,	0.042,	0.259,	0.090,	0.000,	0.194,	0.138,	0.038,	0.128, 
K6, 	S80, 	0.015,	0.024,	0.002,	0.000,	0.403,	0.377,	0.452,	0.876,	0.712,	0.918,	0.895,	0.612,	0.566,	0.291,	0.476,	0.398,	0.201,	0.261,	0.272,	0.089,	0.000,	0.000,	0.134,	0.134, 
K6, 	S81, 	0.029,	0.312,	0.249,	0.000,	0.437,	0.860,	0.387,	0.870,	0.694,	0.855,	0.823,	0.518,	0.807,	0.547,	0.465,	0.202,	0.148,	0.188,	0.270,	0.088,	0.041,	0.089,	0.051,	0.084, 
K6, 	S82, 	0.249,	0.000,	0.114,	0.000,	0.205,	0.694,	0.810,	0.863,	0.788,	0.929,	0.736,	0.904,	0.531,	0.226,	0.296,	0.255,	0.000,	0.189,	0.188,	0.000,	0.267,	0.214,	0.039,	0.161, 
K6, 	S83, 	0.131,	0.000,	0.000,	0.000,	0.185,	0.543,	0.830,	0.934,	0.952,	0.960,	0.846,	0.727,	0.713,	0.590,	0.507,	0.395,	0.074,	0.023,	0.089,	0.000,	0.000,	0.184,	0.000,	0.130, 
K6, 	S84, 	0.000,	0.000,	0.008,	0.000,	0.426,	1.075,	0.960,	0.950,	1.018,	0.316,	0.899,	0.811,	0.698,	0.516,	0.375,	0.203,	0.185,	0.111,	0.247,	0.239,	0.274,	0.280,	0.353,	0.120, 
K6, 	S85, 	0.279,	0.142,	0.621,	0.004,	0.347,	1.039,	0.875,	0.775,	0.907,	0.956,	0.705,	0.895,	0.660,	0.576,	0.156,	0.000,	0.076,	0.000,	0.267,	0.007,	0.250,	0.066,	0.096,	0.127, 
K6, 	S86, 	0.261,	0.024,	0.000,	0.113,	0.212,	0.738,	0.897,	0.508,	0.825,	0.700,	0.750,	0.678,	0.459,	0.590,	0.286,	0.185,	0.387,	0.185,	0.098,	0.126,	0.003,	0.000,	0.151,	0.000, 
K6, 	S87, 	0.024,	0.000,	0.000,	0.018,	0.398,	0.676,	0.567,	0.855,	0.395,	0.670,	0.797,	0.580,	0.541,	0.517,	0.271,	0.224,	0.001,	0.162,	0.002,	0.143,	0.271,	0.000,	0.190,	0.109, 
K6, 	S88, 	0.000,	0.027,	0.000,	0.184,	0.400,	0.832,	0.833,	0.965,	0.916,	0.689,	0.713,	0.688,	0.662,	0.210,	0.222,	0.228,	0.228,	0.145,	0.143,	0.236,	0.000,	0.246,	0.206,	0.000, 
K6, 	S89, 	0.017,	0.089,	0.000,	0.167,	0.476,	0.821,	0.960,	1.060,	0.907,	0.823,	0.817,	0.504,	0.535,	0.400,	0.448,	0.255,	0.030,	0.169,	0.003,	0.104,	0.200,	0.153,	0.199,	0.419, 
K6, 	S90, 	0.060,	0.000,	0.162,	0.197,	0.285,	0.366,	0.934,	0.831,	0.707,	0.742,	0.826,	0.537,	0.536,	0.510,	0.315,	0.232,	0.219,	0.078,	0.262,	0.000,	0.146,	0.030,	0.106,	0.178, 
K6, 	S91, 	0.000,	0.000,	0.000,	0.168,	0.286,	0.557,	0.809,	0.408,	0.918,	0.843,	0.894,	0.713,	0.869,	0.194,	0.050,	0.132,	0.368,	0.076,	0.183,	0.242,	0.244,	0.000,	0.000,	0.037, 
K6, 	S92, 	0.000,	0.119,	0.099,	0.169,	0.235,	0.464,	0.805,	0.328,	0.959,	0.721,	0.769,	0.670,	0.683,	0.301,	0.489,	0.125,	0.139,	0.255,	0.000,	0.000,	0.273,	0.230,	0.193,	0.030, 
K6, 	S93, 	0.039,	0.112,	0.027,	0.169,	0.184,	0.649,	1.043,	0.711,	0.739,	0.980,	0.672,	0.895,	0.660,	0.411,	0.367,	0.000,	0.076,	0.201,	0.094,	0.000,	0.012,	0.181,	0.190,	0.194, 
K6, 	S94, 	0.112,	0.000,	0.001,	0.000,	0.259,	0.848,	0.891,	0.422,	0.844,	0.810,	0.746,	0.810,	0.473,	0.393,	0.459,	0.358,	0.157,	0.094,	0.274,	0.000,	0.159,	0.000,	0.000,	0.133, 
K6, 	S95, 	0.260,	0.286,	0.473,	0.030,	0.426,	0.435,	0.772,	0.788,	0.960,	0.533,	0.738,	0.708,	0.654,	0.580,	0.368,	0.107,	0.332,	0.209,	0.188,	0.087,	0.110,	0.157,	0.000,	0.391, 
K6, 	S96, 	0.275,	0.000,	0.000,	0.112,	0.241,	0.653,	0.778,	0.400,	0.821,	0.802,	0.702,	0.779,	0.354,	0.310,	0.286,	0.000,	0.000,	0.000,	0.188,	0.462,	0.082,	0.086,	0.195,	0.141, 
K6, 	S97, 	0.309,	0.000,	0.000,	0.098,	0.374,	0.799,	0.858,	0.932,	0.951,	0.760,	0.986,	0.753,	0.685,	0.336,	0.485,	0.273,	0.185,	0.127,	0.000,	0.122,	0.000,	0.141,	0.037,	0.139, 
K6, 	S98, 	0.000,	0.133,	0.009,	0.177,	0.209,	0.359,	0.960,	0.990,	0.732,	0.954,	0.714,	0.721,	0.675,	0.367,	0.061,	0.120,	0.040,	0.200,	0.084,	0.000,	0.238,	0.066,	0.020,	0.072, 
K6, 	S99, 	0.000,	0.000,	0.258,	0.070,	0.447,	0.926,	0.789,	0.969,	0.795,	0.732,	0.772,	0.693,	0.610,	0.357,	0.132,	0.297,	0.165,	0.187,	0.275,	0.089,	0.223,	0.227,	0.168,	0.130, 
K6, 	S100, 	0.283,	0.268,	0.284,	0.000,	0.439,	0.372,	0.865,	0.863,	0.208,	0.926,	0.675,	0.542,	0.810,	0.204,	0.307,	0.344,	0.031,	0.187,	0.145,	0.148,	0.157,	0.006,	0.038,	0.043, 


K7, 	S1, 	0.175,	0.156,	0.114,	0.443,	0.559,	0.780,	0.961,	0.847,	0.886,	0.799,	0.826,	0.544,	0.503,	0.307,	0.197,	0.399,	0.297,	0.131,	0.257,	0.114,	0.062,	0.000,	0.023,	0.069, 
K7, 	S2, 	0.000,	0.020,	0.188,	0.093,	0.704,	0.859,	0.857,	0.843,	0.965,	0.709,	0.709,	0.529,	0.648,	0.497,	0.093,	0.186,	0.190,	0.307,	0.169,	0.000,	0.204,	0.099,	0.083,	0.014, 
K7, 	S3, 	0.223,	0.096,	0.162,	0.239,	0.667,	0.819,	0.707,	0.911,	0.722,	0.802,	0.682,	0.505,	0.420,	0.377,	0.149,	0.078,	0.117,	0.000,	0.046,	0.273,	0.171,	0.123,	0.000,	0.043, 
K7, 	S4, 	0.000,	0.097,	0.113,	0.221,	0.844,	0.961,	0.960,	0.765,	0.380,	0.604,	0.818,	0.678,	0.293,	0.230,	0.131,	0.000,	0.144,	0.247,	0.270,	0.147,	0.000,	0.137,	0.186,	0.000, 
K7, 	S5, 	0.000,	0.257,	0.177,	0.392,	0.633,	0.953,	0.516,	0.589,	0.753,	0.606,	0.663,	0.557,	0.320,	0.063,	0.079,	0.111,	0.185,	0.296,	0.230,	0.274,	0.121,	0.134,	0.089,	0.093, 
K7, 	S6, 	0.000,	0.000,	0.162,	0.337,	0.606,	0.947,	0.855,	0.843,	0.950,	0.686,	0.827,	0.553,	0.422,	0.383,	0.138,	0.088,	0.108,	0.246,	0.054,	0.050,	0.048,	0.000,	0.153,	0.040, 
K7, 	S7, 	0.000,	0.007,	0.076,	0.330,	0.521,	0.735,	0.707,	0.693,	0.954,	0.606,	0.565,	0.359,	0.167,	0.066,	0.368,	0.201,	0.168,	0.247,	0.191,	0.190,	0.036,	0.000,	0.000,	0.000, 
K7, 	S8, 	0.268,	0.086,	0.109,	0.082,	0.679,	0.498,	0.960,	0.857,	0.938,	0.730,	0.660,	0.583,	0.396,	0.292,	0.220,	0.059,	0.242,	0.242,	0.043,	0.016,	0.153,	0.083,	0.194,	0.000, 
K7, 	S9, 	0.000,	0.017,	0.000,	0.567,	0.771,	0.724,	0.918,	0.862,	0.501,	0.698,	0.817,	0.855,	0.500,	0.384,	0.138,	0.136,	0.000,	0.099,	0.235,	0.229,	0.112,	0.112,	0.114,	0.025, 
K7, 	S10, 	0.000,	0.000,	0.160,	0.094,	0.778,	0.962,	0.509,	0.738,	0.352,	0.806,	0.826,	0.705,	0.415,	0.470,	0.393,	0.363,	0.343,	0.209,	0.085,	0.177,	0.000,	0.083,	0.113,	0.057, 
K7, 	S11, 	0.000,	0.171,	0.000,	0.456,	0.677,	1.020,	0.513,	0.807,	0.813,	0.695,	0.565,	0.713,	0.377,	0.309,	0.215,	0.211,	0.304,	0.068,	0.236,	0.000,	0.264,	0.000,	0.206,	0.000, 
K7, 	S12, 	0.000,	0.000,	0.156,	0.592,	0.625,	0.712,	0.960,	0.819,	0.907,	0.624,	0.646,	0.393,	0.311,	0.068,	0.396,	0.397,	0.246,	0.249,	0.202,	0.137,	0.077,	0.272,	0.091,	0.000, 
K7, 	S13, 	0.000,	0.000,	0.034,	0.155,	0.726,	0.951,	1.090,	0.779,	0.737,	0.708,	0.775,	0.663,	0.584,	0.206,	0.302,	0.205,	0.282,	0.246,	0.296,	0.202,	0.000,	0.096,	0.000,	0.000, 
K7, 	S14, 	0.000,	0.091,	0.122,	0.460,	0.722,	1.023,	0.864,	0.843,	0.961,	0.796,	0.760,	0.471,	0.492,	0.440,	0.000,	0.198,	0.217,	0.243,	0.269,	0.003,	0.160,	0.105,	0.051,	0.008, 
K7, 	S15, 	0.000,	0.000,	0.112,	0.494,	0.580,	0.468,	0.960,	0.815,	0.775,	0.886,	0.826,	0.662,	0.381,	0.288,	0.007,	0.104,	0.296,	0.000,	0.000,	0.259,	0.057,	0.273,	0.113,	0.024, 
K7, 	S16, 	0.000,	0.000,	0.226,	0.518,	0.614,	0.865,	1.060,	0.801,	0.472,	0.737,	0.825,	0.389,	0.278,	0.285,	0.000,	0.000,	0.179,	0.142,	0.280,	0.000,	0.057,	0.136,	0.114,	0.045, 
K7, 	S17, 	0.476,	0.065,	0.133,	0.457,	0.736,	0.858,	0.770,	0.896,	0.861,	0.676,	0.499,	0.758,	0.683,	0.385,	0.116,	0.120,	0.000,	0.000,	0.000,	0.178,	0.046,	0.136,	0.003,	0.000, 
K7, 	S18, 	0.000,	0.291,	0.163,	0.483,	0.615,	0.560,	0.851,	0.776,	0.549,	0.828,	0.609,	0.401,	0.251,	0.093,	0.187,	0.000,	0.128,	0.000,	0.000,	0.141,	0.221,	0.101,	0.167,	0.000, 
K7, 	S19, 	0.032,	0.097,	0.108,	0.560,	0.628,	0.957,	0.817,	0.895,	0.746,	0.719,	0.678,	0.479,	0.483,	0.144,	0.219,	0.005,	0.274,	0.094,	0.045,	0.060,	0.200,	0.000,	0.027,	0.068, 
K7, 	S20, 	0.036,	0.070,	0.055,	0.290,	0.652,	0.862,	0.960,	0.803,	0.700,	0.585,	0.609,	0.782,	0.476,	0.167,	0.294,	0.223,	0.222,	0.083,	0.212,	0.266,	0.110,	0.100,	0.022,	0.448, 
K7, 	S21, 	0.000,	0.059,	0.133,	0.084,	0.722,	0.818,	1.054,	0.827,	0.786,	0.691,	0.565,	0.709,	0.395,	0.446,	0.134,	0.036,	0.116,	0.249,	0.044,	0.015,	0.089,	0.110,	0.314,	0.000, 
K7, 	S22, 	0.000,	0.000,	0.495,	0.216,	0.767,	0.817,	0.941,	0.826,	0.907,	0.824,	0.613,	0.424,	0.488,	0.256,	0.297,	0.233,	0.386,	0.254,	0.280,	0.016,	0.096,	0.158,	0.000,	0.001, 
K7, 	S23, 	0.000,	0.014,	0.495,	0.335,	0.721,	0.713,	0.765,	0.846,	0.770,	0.512,	0.561,	0.794,	0.203,	0.118,	0.193,	0.200,	0.179,	0.000,	0.175,	0.344,	0.109,	0.000,	0.014,	0.199, 
K7, 	S24, 	0.000,	0.000,	0.133,	0.561,	0.840,	0.762,	0.805,	0.995,	0.830,	0.767,	0.535,	0.437,	0.352,	0.191,	0.180,	0.185,	0.000,	0.154,	0.204,	0.052,	0.017,	0.176,	0.031,	0.051, 
K7, 	S25, 	0.467,	0.227,	0.127,	0.343,	0.826,	0.962,	0.960,	0.780,	0.686,	0.876,	0.570,	0.685,	0.334,	0.383,	0.219,	0.046,	0.164,	0.000,	0.000,	0.178,	0.000,	0.027,	0.128,	0.036, 
K7, 	S26, 	0.200,	0.017,	0.134,	0.595,	0.841,	0.834,	0.960,	0.975,	0.845,	0.833,	0.826,	0.682,	0.472,	0.321,	0.301,	0.204,	0.297,	0.149,	0.000,	0.226,	0.114,	0.134,	0.014,	0.067, 
K7, 	S27, 	0.464,	0.101,	0.000,	0.091,	0.621,	0.817,	0.788,	0.717,	0.919,	0.796,	0.611,	0.867,	0.598,	0.443,	0.191,	0.128,	0.314,	0.229,	0.000,	0.067,	0.061,	0.135,	0.000,	0.093, 
K7, 	S28, 	0.000,	0.000,	0.000,	0.447,	0.843,	0.721,	0.755,	0.620,	0.881,	0.832,	0.887,	0.760,	0.566,	0.229,	0.112,	0.068,	0.185,	0.028,	0.049,	0.233,	0.051,	0.135,	0.004,	0.000, 
K7, 	S29, 	0.000,	0.201,	0.134,	0.543,	0.834,	0.858,	0.748,	0.843,	0.821,	0.703,	0.718,	0.580,	0.307,	0.062,	0.116,	0.270,	0.071,	0.137,	0.097,	0.176,	0.153,	0.126,	0.140,	0.000, 
K7, 	S30, 	0.000,	0.123,	0.130,	0.600,	0.573,	0.969,	0.864,	0.852,	0.375,	0.736,	0.736,	0.516,	0.509,	0.136,	0.301,	0.369,	0.013,	0.233,	0.271,	0.253,	0.149,	0.000,	0.079,	0.000, 
K7, 	S31, 	0.001,	0.000,	0.190,	0.092,	0.592,	0.789,	0.926,	0.831,	0.961,	0.776,	0.826,	0.342,	0.184,	0.220,	0.260,	0.425,	0.229,	0.000,	0.128,	0.288,	0.101,	0.104,	0.009,	0.034, 
K7, 	S32, 	0.000,	0.011,	0.000,	0.202,	0.689,	0.710,	0.998,	0.846,	0.761,	0.709,	0.564,	0.737,	0.365,	0.157,	0.085,	0.215,	0.238,	0.259,	0.188,	0.231,	0.201,	0.135,	0.459,	0.000, 
K7, 	S33, 	0.000,	0.019,	0.000,	0.136,	0.554,	0.858,	0.824,	0.904,	0.940,	0.902,	0.829,	0.388,	0.429,	0.410,	0.255,	0.190,	0.260,	0.188,	0.000,	0.000,	0.180,	0.218,	0.000,	0.067, 
K7, 	S34, 	0.000,	0.074,	0.173,	0.564,	0.794,	0.846,	0.820,	0.962,	0.835,	0.691,	0.699,	0.525,	0.177,	0.066,	0.044,	0.000,	0.091,	0.319,	0.048,	0.127,	0.223,	0.138,	0.163,	0.060, 
K7, 	S35, 	0.039,	0.110,	0.047,	0.213,	0.613,	0.775,	1.033,	0.691,	0.367,	0.725,	0.610,	0.726,	0.172,	0.262,	0.343,	0.000,	0.099,	0.229,	0.174,	0.039,	0.119,	0.273,	0.000,	0.100, 
K7, 	S36, 	0.143,	0.000,	0.098,	0.554,	0.533,	0.529,	0.513,	0.992,	0.835,	0.846,	0.693,	0.630,	0.169,	0.175,	0.000,	0.000,	0.067,	0.201,	0.307,	0.323,	0.067,	0.317,	0.000,	0.065, 
K7, 	S37, 	0.285,	0.077,	0.000,	0.118,	0.662,	0.818,	0.836,	0.732,	0.993,	0.916,	0.781,	0.650,	0.233,	0.062,	0.000,	0.000,	0.169,	0.249,	0.202,	0.313,	0.263,	0.134,	0.031,	0.146, 
K7, 	S38, 	0.000,	0.000,	0.091,	0.444,	0.701,	0.858,	0.504,	0.785,	0.650,	0.726,	0.717,	0.484,	0.307,	0.461,	0.279,	0.228,	0.129,	0.096,	0.000,	0.046,	0.226,	0.000,	0.000,	0.357, 
K7, 	S39, 	0.316,	0.256,	0.021,	0.124,	0.537,	0.652,	0.755,	0.841,	0.833,	0.914,	0.596,	0.455,	0.619,	0.135,	0.137,	0.169,	0.208,	0.237,	0.000,	0.294,	0.014,	0.107,	0.038,	0.000, 
K7, 	S40, 	0.000,	0.009,	0.510,	0.395,	0.717,	0.850,	0.507,	0.559,	0.836,	0.630,	0.832,	0.560,	0.418,	0.310,	0.220,	0.198,	0.179,	0.153,	0.024,	0.186,	0.155,	0.081,	0.123,	0.140, 
K7, 	S41, 	0.000,	0.031,	0.190,	0.205,	0.758,	0.965,	0.960,	0.726,	0.762,	0.716,	0.564,	0.731,	0.305,	0.383,	0.135,	0.120,	0.088,	0.207,	0.000,	0.207,	0.000,	0.000,	0.187,	0.000, 
K7, 	S42, 	0.106,	0.000,	0.114,	0.082,	0.571,	0.908,	0.500,	0.709,	0.662,	0.720,	0.722,	0.482,	0.494,	0.177,	0.218,	0.080,	0.192,	0.141,	0.271,	0.000,	0.215,	0.145,	0.348,	0.110, 
K7, 	S43, 	0.397,	0.221,	0.000,	0.314,	0.674,	0.954,	0.786,	0.684,	0.802,	0.722,	0.501,	0.612,	0.432,	0.386,	0.000,	0.145,	0.202,	0.032,	0.046,	0.016,	0.198,	0.112,	0.004,	0.451, 
K7, 	S44, 	0.000,	0.047,	0.202,	0.195,	0.698,	0.963,	0.559,	0.715,	0.940,	0.656,	0.746,	0.529,	0.561,	0.384,	0.129,	0.070,	0.259,	0.014,	0.000,	0.016,	0.053,	0.132,	0.161,	0.000, 
K7, 	S45, 	0.000,	0.000,	0.209,	0.346,	0.730,	0.961,	0.514,	0.697,	0.844,	0.582,	0.728,	0.459,	0.292,	0.123,	0.173,	0.000,	0.371,	0.174,	0.190,	0.178,	0.000,	0.129,	0.000,	0.065, 
K7, 	S46, 	0.308,	0.140,	0.509,	0.189,	0.851,	0.961,	1.025,	0.781,	0.768,	0.719,	0.667,	0.450,	0.266,	0.370,	0.006,	0.000,	0.222,	0.100,	0.041,	0.196,	0.000,	0.321,	0.182,	0.133, 
K7, 	S47, 	0.154,	0.182,	0.464,	0.432,	0.778,	0.705,	0.514,	0.795,	0.913,	0.949,	0.814,	0.589,	0.501,	0.219,	0.173,	0.358,	0.133,	0.104,	0.000,	0.177,	0.253,	0.136,	0.050,	0.000, 
K7, 	S48, 	0.083,	0.323,	0.000,	0.215,	0.690,	0.956,	0.808,	0.761,	0.845,	0.913,	0.564,	0.673,	0.163,	0.064,	0.131,	0.000,	0.172,	0.121,	0.188,	0.039,	0.036,	0.265,	0.054,	0.000, 
K7, 	S49, 	0.200,	0.245,	0.034,	0.098,	0.576,	1.032,	0.757,	0.413,	0.950,	0.797,	0.466,	0.391,	0.404,	0.361,	0.132,	0.382,	0.232,	0.061,	0.000,	0.284,	0.215,	0.128,	0.000,	0.000, 
K7, 	S50, 	0.428,	0.068,	0.228,	0.561,	0.610,	0.964,	0.930,	0.983,	0.921,	0.846,	0.831,	0.461,	0.195,	0.451,	0.219,	0.055,	0.000,	0.131,	0.144,	0.196,	0.051,	0.000,	0.110,	0.499, 
K7, 	S51, 	0.000,	0.142,	0.104,	0.079,	0.763,	0.762,	0.515,	0.451,	0.776,	0.739,	1.011,	0.722,	0.233,	0.322,	0.183,	0.040,	0.288,	0.235,	0.000,	0.246,	0.200,	0.137,	0.164,	0.003, 
K7, 	S52, 	0.004,	0.045,	0.430,	0.337,	0.778,	0.962,	0.791,	0.958,	0.832,	0.795,	0.610,	0.475,	0.553,	0.211,	0.097,	0.129,	0.091,	0.233,	0.000,	0.274,	0.217,	0.000,	0.017,	0.061, 
K7, 	S53, 	0.000,	0.000,	0.034,	0.084,	0.837,	0.712,	0.990,	0.960,	0.892,	0.721,	0.782,	0.692,	0.563,	0.136,	0.199,	0.041,	0.383,	0.163,	0.005,	0.155,	0.189,	0.310,	0.124,	0.004, 
K7, 	S54, 	0.021,	0.023,	0.065,	0.176,	0.637,	0.972,	0.700,	0.785,	0.773,	0.793,	0.790,	0.732,	0.290,	0.271,	0.272,	0.339,	0.394,	0.061,	0.096,	0.131,	0.216,	0.132,	0.058,	0.465, 
K7, 	S55, 	0.000,	0.000,	0.152,	0.439,	0.720,	0.487,	0.960,	0.685,	0.685,	0.667,	0.825,	0.427,	0.179,	0.133,	0.262,	0.000,	0.129,	0.301,	0.268,	0.349,	0.136,	0.000,	0.044,	0.000, 
K7, 	S56, 	0.000,	0.327,	0.135,	0.417,	0.805,	0.858,	0.794,	0.961,	0.864,	0.847,	0.572,	0.709,	0.194,	0.119,	0.008,	0.000,	0.000,	0.133,	0.183,	0.309,	0.148,	0.194,	0.000,	0.000, 
K7, 	S57, 	0.000,	0.350,	0.134,	0.411,	0.819,	0.712,	0.917,	0.872,	0.694,	0.590,	0.608,	0.558,	0.494,	0.142,	0.301,	0.230,	0.088,	0.078,	0.006,	0.002,	0.238,	0.003,	0.123,	0.084, 
K7, 	S58, 	0.000,	0.108,	0.034,	0.334,	0.785,	0.892,	0.921,	0.691,	0.740,	0.628,	0.767,	0.667,	0.176,	0.065,	0.219,	0.000,	0.126,	0.046,	0.173,	0.357,	0.223,	0.159,	0.451,	0.000, 
K7, 	S59, 	0.456,	0.000,	0.000,	0.570,	0.804,	0.819,	0.471,	0.840,	0.877,	0.801,	0.569,	0.420,	0.178,	0.144,	0.378,	0.375,	0.219,	0.027,	0.140,	0.255,	0.000,	0.000,	0.071,	0.000, 
K7, 	S60, 	0.165,	0.122,	0.047,	0.386,	0.661,	0.817,	0.876,	0.430,	0.364,	0.768,	0.807,	0.634,	0.457,	0.302,	0.170,	0.168,	0.176,	0.123,	0.098,	0.038,	0.018,	0.159,	0.000,	0.128, 
K7, 	S61, 	0.000,	0.000,	0.367,	0.331,	0.776,	0.608,	0.821,	1.005,	0.951,	0.727,	0.838,	0.503,	0.392,	0.299,	0.256,	0.097,	0.233,	0.087,	0.000,	0.163,	0.195,	0.091,	0.000,	0.096, 
K7, 	S62, 	0.000,	0.121,	0.145,	0.289,	0.726,	0.817,	0.509,	0.889,	0.759,	0.589,	0.909,	0.654,	0.500,	0.320,	0.401,	0.211,	0.383,	0.149,	0.147,	0.045,	0.129,	0.000,	0.000,	0.000, 
K7, 	S63, 	0.000,	0.114,	0.143,	0.341,	0.604,	0.964,	0.899,	0.583,	0.870,	0.672,	0.562,	0.459,	0.299,	0.104,	0.138,	0.108,	0.170,	0.000,	0.148,	0.065,	0.201,	0.133,	0.140,	0.000, 
K7, 	S64, 	0.294,	0.013,	0.000,	0.328,	0.655,	0.957,	0.961,	0.962,	0.768,	0.895,	0.851,	0.393,	0.405,	0.097,	0.219,	0.162,	0.134,	0.000,	0.121,	0.275,	0.154,	0.184,	0.208,	0.000, 
K7, 	S65, 	0.000,	0.000,	0.125,	0.339,	0.801,	0.817,	0.516,	0.427,	0.631,	0.729,	0.597,	0.542,	0.384,	0.081,	0.337,	0.191,	0.153,	0.030,	0.251,	0.353,	0.051,	0.091,	0.043,	0.000, 
K7, 	S66, 	0.000,	0.000,	0.034,	0.560,	0.545,	0.818,	0.960,	0.687,	0.822,	0.510,	0.565,	0.447,	0.613,	0.222,	0.279,	0.156,	0.120,	0.160,	0.017,	0.273,	0.118,	0.057,	0.165,	0.041, 
K7, 	S67, 	0.324,	0.113,	0.000,	0.486,	0.623,	0.939,	0.711,	0.870,	0.747,	0.738,	0.779,	0.646,	0.312,	0.136,	0.210,	0.000,	0.174,	0.195,	0.189,	0.232,	0.257,	0.136,	0.447,	0.182, 
K7, 	S68, 	0.132,	0.276,	0.206,	0.079,	0.733,	0.959,	0.512,	0.923,	0.604,	0.910,	0.612,	0.522,	0.303,	0.271,	0.388,	0.207,	0.212,	0.023,	0.000,	0.258,	0.113,	0.000,	0.104,	0.000, 
